Truro and Falmouth,M 146.5 928.5 L 146.5 943.5 L 161.5 943.5 L 161.5 928.5 z
Camborne and Redruth,M 129.5 928.5 L 129.5 943.5 L 144.5 943.5 L 144.5 928.5 z
St. Ives,M 112.5 928.5 L 112.5 943.5 L 127.5 943.5 L 127.5 928.5 z
East Devon,M 231.5 911.5 L 231.5 926.5 L 246.5 926.5 L 246.5 911.5 z
Torbay,M 214.5 911.5 L 214.5 926.5 L 229.5 926.5 L 229.5 911.5 z
"Plymouth, Sutton and Devonport",M 180.5 911.5 L 180.5 926.5 L 195.5 926.5 L 195.5 911.5 z
South East Cornwall,M 163.5 911.5 L 163.5 926.5 L 178.5 926.5 L 178.5 911.5 z
St. Austell and Newquay,M 146.5 911.5 L 146.5 926.5 L 161.5 926.5 L 161.5 911.5 z
Isle of Wight,M 316.5 894.5 L 316.5 909.5 L 331.5 909.5 L 331.5 894.5 z
West Dorset,M 231.5 894.5 L 231.5 909.5 L 246.5 909.5 L 246.5 894.5 z
Exeter,M 214.5 894.5 L 214.5 909.5 L 229.5 909.5 L 229.5 894.5 z
Totnes,M 197.5 894.5 L 197.5 909.5 L 212.5 909.5 L 212.5 894.5 z
South West Devon,M 180.5 894.5 L 180.5 909.5 L 195.5 909.5 L 195.5 894.5 z
North Cornwall,M 163.5 894.5 L 163.5 909.5 L 178.5 909.5 L 178.5 894.5 z
Havant,M 333.5 877.5 L 333.5 892.5 L 348.5 892.5 L 348.5 877.5 z
Portsmouth South,M 316.5 877.5 L 316.5 892.5 L 331.5 892.5 L 331.5 877.5 z
New Forest East,M 299.5 877.5 L 299.5 892.5 L 314.5 892.5 L 314.5 877.5 z
South Dorset,M 248.5 877.5 L 248.5 892.5 L 263.5 892.5 L 263.5 877.5 z
Yeovil,M 231.5 877.5 L 231.5 892.5 L 246.5 892.5 L 246.5 877.5 z
Tiverton and Honiton,M 214.5 877.5 L 214.5 892.5 L 229.5 892.5 L 229.5 877.5 z
Newton Abbot,M 197.5 877.5 L 197.5 892.5 L 212.5 892.5 L 212.5 877.5 z
"Plymouth, Moor View",M 180.5 877.5 L 180.5 892.5 L 195.5 892.5 L 195.5 877.5 z
"Brighton, Pavilion",M 418.5 860.5 L 418.5 875.5 L 433.5 875.5 L 433.5 860.5 z
East Worthing and Shoreham,M 367.5 860.5 L 367.5 875.5 L 382.5 875.5 L 382.5 860.5 z
Worthing West,M 350.5 860.5 L 350.5 875.5 L 365.5 875.5 L 365.5 860.5 z
Bognor Regis and Littlehampton,M 333.5 860.5 L 333.5 875.5 L 348.5 875.5 L 348.5 860.5 z
Gosport,M 316.5 860.5 L 316.5 875.5 L 331.5 875.5 L 331.5 860.5 z
"Southampton, Itchen",M 299.5 860.5 L 299.5 875.5 L 314.5 875.5 L 314.5 860.5 z
Bournemouth East,M 282.5 860.5 L 282.5 875.5 L 297.5 875.5 L 297.5 860.5 z
Poole,M 265.5 860.5 L 265.5 875.5 L 280.5 875.5 L 280.5 860.5 z
North Dorset,M 248.5 860.5 L 248.5 875.5 L 263.5 875.5 L 263.5 860.5 z
Wells,M 231.5 860.5 L 231.5 875.5 L 246.5 875.5 L 246.5 860.5 z
Taunton Deane,M 214.5 860.5 L 214.5 875.5 L 229.5 875.5 L 229.5 860.5 z
Central Devon,M 197.5 860.5 L 197.5 875.5 L 212.5 875.5 L 212.5 860.5 z
Torridge and West Devon,M 180.5 860.5 L 180.5 875.5 L 195.5 875.5 L 195.5 860.5 z
Bexhill and Battle,M 503.5 843.5 L 503.5 858.5 L 518.5 858.5 L 518.5 843.5 z
Eastbourne,M 486.5 843.5 L 486.5 858.5 L 501.5 858.5 L 501.5 843.5 z
Wealden,M 469.5 843.5 L 469.5 858.5 L 484.5 858.5 L 484.5 843.5 z
Lewes,M 452.5 843.5 L 452.5 858.5 L 467.5 858.5 L 467.5 843.5 z
